year,countrycode,ctrycode,country,resid_y,resid_x1,resid_x2,region,post
1960,ABW,ABW,Aruba,,,,Latin America & Caribbean,0
1965,ABW,ABW,Aruba,,,,Latin America & Caribbean,0
1970,ABW,ABW,Aruba,,,,Latin America & Caribbean,0
1975,ABW,ABW,Aruba,,,,Latin America & Caribbean,0
1980,ABW,ABW,Aruba,,,,Latin America & Caribbean,0
1985,ABW,ABW,Aruba,,,,Latin America & Caribbean,0
1990,ABW,ABW,Aruba,2.3702407,9.9684839,,Latin America & Caribbean,0
1995,ABW,ABW,Aruba,-1.325449,3.5372312,,Latin America & Caribbean,0
2000,ABW,ABW,Aruba,1.1197641,-.60778457,,Latin America & Caribbean,0
2005,ABW,ABW,Aruba,-2.8271308,-14.990599,,Latin America & Caribbean,0
2010,ABW,ABW,Aruba,-1.0161941,-7.7102518,,Latin America & Caribbean,1
2015,ABW,ABW,Aruba,-.14657211,-6.8174758,,Latin America & Caribbean,1
2020,ABW,ABW,,1.8253413,16.620396,,Latin America & Caribbean,1
1960,AND,AND,Andorra,,,,Europe & Central Asia,0
1965,AND,AND,Andorra,,,,Europe & Central Asia,0
1970,AND,AND,Andorra,-1.033605,,,Europe & Central Asia,0
1975,AND,AND,Andorra,-3.7879484,,,Europe & Central Asia,0
1980,AND,AND,Andorra,-.89268965,,,Europe & Central Asia,0
1985,AND,AND,Andorra,.080239773,,,Europe & Central Asia,0
1990,AND,AND,Andorra,-1.6348954,,,Europe & Central Asia,0
1995,AND,AND,Andorra,3.3848145,,,Europe & Central Asia,0
2000,AND,AND,Andorra,2.967272,,,Europe & Central Asia,0
2005,AND,AND,Andorra,-1.7790239,,,Europe & Central Asia,0
2010,AND,AND,Andorra,1.0766126,,,Europe & Central Asia,1
2015,AND,AND,Andorra,.75073612,,,Europe & Central Asia,1
2020,AND,AND,,.86848718,,,Europe & Central Asia,1
1960,ARE,ARE,United Arab Emirates,,,,Middle East & North Africa,0
1965,ARE,ARE,United Arab Emirates,,,,Middle East & North Africa,0
1970,ARE,ARE,United Arab Emirates,21.445194,,,Middle East & North Africa,0
1975,ARE,ARE,United Arab Emirates,-.23394336,9.4552135,,Middle East & North Africa,0
1980,ARE,ARE,United Arab Emirates,-.16269696,-8.6834383,,Middle East & North Africa,0
1985,ARE,ARE,United Arab Emirates,-7.0912457,-2.5541191,,Middle East & North Africa,0
1990,ARE,ARE,United Arab Emirates,2.0998144,-10.896288,,Middle East & North Africa,0
1995,ARE,ARE,United Arab Emirates,-3.159497,-5.669445,,Middle East & North Africa,0
2000,ARE,ARE,United Arab Emirates,-1.5024929,-9.2937384,,Middle East & North Africa,0
2005,ARE,ARE,United Arab Emirates,-5.8720636,1.9142308,,Middle East & North Africa,0
2010,ARE,ARE,United Arab Emirates,-1.6090127,-1.7258525,,Middle East & North Africa,1
2015,ARE,ARE,United Arab Emirates,-2.2276745,13.93337,,Middle East & North Africa,1
2020,ARE,ARE,United Arab Emirates,-1.6863816,13.520066,,Middle East & North Africa,1
1960,ATG,ATG,Antigua and Barbuda,,,,Latin America & Caribbean,0
1965,ATG,ATG,Antigua and Barbuda,,,,Latin America & Caribbean,0
1970,ATG,ATG,Antigua and Barbuda,,,,Latin America & Caribbean,0
1975,ATG,ATG,Antigua and Barbuda,,,,Latin America & Caribbean,0
1980,ATG,ATG,Antigua and Barbuda,3.1703339,8.2769833,,Latin America & Caribbean,0
1985,ATG,ATG,Antigua and Barbuda,4.3565698,.94400966,,Latin America & Caribbean,0
1990,ATG,ATG,Antigua and Barbuda,1.7637371,1.4473445,,Latin America & Caribbean,0
1995,ATG,ATG,Antigua and Barbuda,-1.788682,10.13626,,Latin America & Caribbean,0
2000,ATG,ATG,Antigua and Barbuda,-1.5560251,12.943258,,Latin America & Caribbean,0
2005,ATG,ATG,Antigua and Barbuda,.11425897,-1.1758599,,Latin America & Caribbean,0
2010,ATG,ATG,Antigua and Barbuda,-4.2245188,5.2014947,,Latin America & Caribbean,1
2015,ATG,ATG,Antigua and Barbuda,.29669496,-18.052454,,Latin America & Caribbean,1
2020,ATG,ATG,,-2.1323688,-19.721037,,Latin America & Caribbean,1
1960,AUS,AUS,Australia,-1.0499854,-13.776262,,East Asia & Pacific,0
1965,AUS,AUS,Australia,-.2002535,-15.848812,,East Asia & Pacific,0
1970,AUS,AUS,Australia,-1.6536998,-20.412151,,East Asia & Pacific,0
1975,AUS,AUS,Australia,-1.4124587,-23.750322,,East Asia & Pacific,0
1980,AUS,AUS,Australia,.69779444,-28.30406,.0029613082,East Asia & Pacific,0
1985,AUS,AUS,Australia,.60112423,-18.009136,.001932069,East Asia & Pacific,0
1990,AUS,AUS,Australia,1.222837,-9.9223022,.00024605199,East Asia & Pacific,0
1995,AUS,AUS,Australia,1.0473086,-1.7691534,-.0023265083,East Asia & Pacific,0
2000,AUS,AUS,Australia,.052443366,9.9321089,-.0017429914,East Asia & Pacific,0
2005,AUS,AUS,Australia,.4328576,18.273937,-.00054571981,East Asia & Pacific,0
